id,talent_id,talent_evaluation_competence_id,points,question_id,talent_answer_id,pending,question_category_id,,,,,,
370,2666,124,0,35,35,0,12,,,,,,
371,2666,124,0,37,37,0,9,,,,,,
372,2666,124,0,38,38,0,10,,,,,,
373,2666,125,2,53,53,0,9,,,,,,
374,2666,125,2,66,66,0,12,,,,,,
375,2666,125,2,70,70,0,9,,,,,,
376,2668,126,0,48,48,0,12,,,,,,
377,2668,126,0,51,51,0,8,,,,,,
378,2668,126,0,52,52,0,8,,,,,,
379,2668,127,2,56,56,0,12,,,,,,
380,2668,127,2,50,50,0,8,,,,,,
381,2668,127,2,49,49,0,8,,,,,,
382,2668,128,2,68,68,0,12,,,,,,
383,2668,128,2,45,45,0,11,,,,,,
384,2668,128,2,44,44,0,8,,,,,,
385,2668,129,0,35,35,0,12,,,,,,
386,2668,129,0,37,37,0,9,,,,,,
387,2668,129,0,38,38,0,10,,,,,,
388,2668,130,2,53,53,0,9,,,,,,
389,2668,130,2,66,66,0,12,,,,,,
390,2668,130,2,70,70,0,9,,,,,,
391,2669,131,0,48,48,0,12,,,,,,
392,2669,131,0,51,51,0,8,,,,,,
393,2669,131,0,52,52,0,8,,,,,,
394,2669,132,2,56,56,0,12,,,,,,
395,2669,132,2,50,50,0,8,,,,,,
396,2669,132,2,49,49,0,8,,,,,,
397,2669,133,0,68,68,0,12,,,,,,
398,2669,133,0,45,45,0,11,,,,,,
399,2669,133,0,44,44,0,8,,,,,,
400,2669,134,2,35,35,0,12,,,,,,
401,2669,134,2,37,37,0,9,,,,,,
402,2669,134,2,38,38,0,10,,,,,,
403,2669,135,2,53,53,0,9,,,,,,
404,2669,135,2,66,66,0,12,,,,,,
405,2669,135,2,70,70,0,9,,,,,,
406,2670,136,0,36,36,0,9,,,,,,
407,2670,136,0,32,32,0,9,,,,,,
408,2670,136,0,58,58,0,13,,,,,,
409,2670,137,2,54,54,0,10,,,,,,
410,2670,137,2,50,50,0,8,,,,,,
411,2670,137,2,55,55,0,11,,,,,,
412,2670,138,2,46,46,0,11,,,,,,
413,2670,138,2,68,68,0,12,,,,,,
414,2670,138,2,45,45,0,11,,,,,,
415,2670,139,2,65,65,0,12,,,,,,
416,2670,139,2,61,61,0,12,,,,,,
417,2670,139,2,63,63,0,10,,,,,,
418,2670,140,0,79,79,0,11,,,,,,
419,2670,140,0,53,53,0,9,,,,,,
420,2670,140,0,39,39,0,11,,,,,,
421,2671,141,2,36,36,0,9,,,,,,
422,2671,141,2,32,32,0,9,,,,,,
423,2671,141,2,58,58,0,13,,,,,,
424,2671,142,2,54,54,0,10,,,,,,
425,2671,142,2,50,50,0,8,,,,,,
426,2671,142,2,55,55,0,11,,,,,,
427,2671,143,2,46,46,0,11,,,,,,
428,2671,143,2,68,68,0,12,,,,,,
429,2671,143,2,45,45,0,11,,,,,,
430,2671,144,0,65,65,0,12,,,,,,
431,2671,144,0,61,61,0,12,,,,,,
432,2671,144,0,63,63,0,10,,,,,,
433,2671,145,0,79,79,0,11,,,,,,
434,2671,145,0,53,53,0,9,,,,,,
435,2671,145,0,39,39,0,11,,,,,,
436,2672,146,2,36,36,0,9,,,,,,
437,2672,146,2,32,32,0,9,,,,,,
438,2672,146,2,58,58,0,13,,,,,,
439,2672,147,2,54,54,0,10,,,,,,
440,2672,147,2,50,50,0,8,,,,,,
441,2672,147,2,55,55,0,11,,,,,,
442,2672,148,0,46,46,0,11,,,,,,
443,2672,148,0,68,68,0,12,,,,,,
444,2672,148,0,45,45,0,11,,,,,,
445,2672,149,2,65,65,0,12,,,,,,
446,2672,149,2,61,61,0,12,,,,,,
447,2672,149,2,63,63,0,10,,,,,,
448,2672,150,0,79,79,0,11,,,,,,
449,2672,150,0,53,53,0,9,,,,,,
450,2672,150,0,39,39,0,11,,,,,,
451,2673,151,0,36,36,0,9,,,,,,
452,2673,151,0,32,32,0,9,,,,,,
453,2673,151,0,58,58,0,13,,,,,,
454,2673,152,2,54,54,0,10,,,,,,
455,2673,152,2,50,50,0,8,,,,,,
456,2673,152,2,55,55,0,11,,,,,,
457,2673,153,0,46,46,0,11,,,,,,
458,2673,153,0,68,68,0,12,,,,,,
459,2673,153,0,45,45,0,11,,,,,,
460,2673,154,2,65,65,0,12,,,,,,
461,2673,154,2,61,61,0,12,,,,,,
462,2673,154,2,63,63,0,10,,,,,,
463,2673,155,2,79,79,0,11,,,,,,
464,2673,155,2,53,53,0,9,,,,,,
465,2673,155,2,39,39,0,11,,,,,,
466,2674,156,2,36,36,0,9,,,,,,
467,2674,156,2,32,32,0,9,,,,,,
468,2674,156,2,58,58,0,13,,,,,,
469,2674,157,0,54,54,0,10,,,,,,
470,2674,157,0,50,50,0,8,,,,,,
471,2674,157,0,55,55,0,11,,,,,,
472,2674,158,2,46,46,0,11,,,,,,
473,2674,158,2,68,68,0,12,,,,,,
474,2674,158,2,45,45,0,11,,,,,,
475,2674,159,0,65,65,0,12,,,,,,
476,2674,159,0,61,61,0,12,,,,,,
477,2674,159,0,63,63,0,10,,,,,,
478,2674,160,2,79,79,0,11,,,,,,
479,2674,160,2,53,53,0,9,,,,,,
480,2674,160,2,39,39,0,11,,,,,,
481,2570,171,0,36,36,0,9,,,,,,
482,2570,171,0,32,32,0,9,,,,,,
483,2570,171,0,58,58,0,13,,,,,,
484,2570,172,0,54,54,0,10,,,,,,
485,2570,172,0,50,50,0,8,,,,,,
486,2570,172,0,55,55,0,11,,,,,,
487,2570,173,0,46,46,0,11,,,,,,
488,2570,173,0,68,68,0,12,,,,,,
489,2570,173,0,45,45,0,11,,,,,,
490,2570,174,0,65,65,0,12,,,,,,
491,2570,174,0,61,61,0,12,,,,,,
492,2570,174,0,63,63,0,10,,,,,,
493,2570,175,0,79,79,0,11,,,,,,
494,2570,175,0,53,53,0,9,,,,,,
495,2570,175,0,39,39,0,11,,,,,,
496,2573,176,2,36,36,0,9,,,,,,
497,2573,176,2,32,32,0,9,,,,,,
498,2573,176,2,58,58,0,13,,,,,,
499,2573,177,2,54,54,0,10,,,,,,
500,2573,177,2,50,50,0,8,,,,,,
501,2573,177,2,55,55,0,11,,,,,,
502,2573,178,0,46,46,0,11,,,,,,
503,2573,178,0,68,68,0,12,,,,,,
504,2573,178,0,45,45,0,11,,,,,,
505,2573,179,0,65,65,0,12,,,,,,
506,2573,179,0,61,61,0,12,,,,,,
507,2573,179,0,63,63,0,10,,,,,,
508,2573,180,0,79,79,0,11,,,,,,
509,2573,180,0,53,53,0,9,,,,,,
510,2573,180,0,39,39,0,11,,,,,,
511,2574,181,0,36,36,0,9,,,,,,
512,2574,181,0,32,32,0,9,,,,,,
513,2574,181,0,58,58,0,13,,,,,,
